title,douban_title,sub_title,author,publication,ibsn,douban_id,douban_rating,cover_url,device
Atlas Shrugged,,,AynRand,Penguin Classics,9780141188935,3319629,8.7,https://img1.doubanio.com/view/subject/l/public/s4737658.jpg,epub ibook
Atomic Habits,,An Easy & Proven Way to Build Good Habits & Break Bad Ones,JamesClear/詹姆斯·克利尔,Avery,9780735211292,30355759,8.8,https://img9.doubanio.com/view/subject/l/public/s29900086.jpg,epub ibook
Basic income,,And How We Can Make It Happen,GuyStanding,Penguin Random House UK,9780141985497,27106759,,https://img1.doubanio.com/view/subject/l/public/s29510548.jpg,epub ibook
Broke Millennial Takes on Investing,,A Beginner's Guide to Leveling-Up Your Money,ErinLowry,Tarcherperigee,9780143133643,30339350,,https://img3.doubanio.com/view/subject/l/public/s29882623.jpg,epub ibook
Building a Second Brain,,A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,TiagoForte,Atria Books,9781982167387,35761116,8.1,https://img3.doubanio.com/view/subject/l/public/s34114492.jpg,epub ibook
Bulletproof Problem Solving,,The One Skill That Changes Everything,CharlesConn/RobertMcLean,Wiley,9781119553021,32875781,,https://img2.doubanio.com/view/subject/l/public/s31766081.jpg,epub ibook
Central Banking 101,,,JosephJWang,Joseph,9780999136744,35542615,9.2,https://img1.doubanio.com/view/subject/l/public/s33953778.jpg,epub ibook
Clean Code,,A Handbook of Agile Software Craftsmanship,RobertC.Martin,Prentice Hall,9780132350884,3032825,8.8,https://img9.doubanio.com/view/subject/l/public/s29624974.jpg,epub ibook
Code Complete,,A Practical Handbook of Software Construction,SteveMcConnell,Microsoft Press,9780735619678,1432042,9.1,https://img3.doubanio.com/view/subject/l/public/s7057342.jpg,epub ibook
Computer Science Distilled,,Learn the Art of Solving Computational Problems,WladstonFerreiraFilho,Code Energy LLC,9780997316001,30153225,,https://img2.doubanio.com/view/subject/l/public/s29700511.jpg,epub ibook
Deep Work,,Rules for Focused Success in a Distracted World,CalNewport,Grand Central Publishing,9781455586691,26649613,8.2,https://img3.doubanio.com/view/subject/l/public/s29497013.jpg,epub 
DO IT TODAY,,"Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",DariusForoux,,9789083023861,36536360,,https://img3.doubanio.com/view/subject/l/public/s34630607.jpg,epub ibook
Educated,,A Memoir,TaraWestover,Random House,9780399590504,30175475,8.7,https://img1.doubanio.com/view/subject/l/public/s29745220.jpg,epub ibook
Dune,,"Dune Chronicles, Book 1",FrankHerbert,ACE Charter; 25th Anniv edition,9780441172719,1291997,8.3,https://img3.doubanio.com/view/subject/l/public/s29956023.jpg,epub ibook
How Finance Works,,The HBR Guide to Thinking Smart About the Numbers,MihirDesai,Harvard Business Review Press,9781633696709,32391694,9.9,https://img3.doubanio.com/view/subject/l/public/s31284757.jpg,epub ibook
How To Win Friends And Influence People,,,DaleCarnegie,Simon & Schuster (New York),9780671723651,1417379,8.4,https://img1.doubanio.com/view/subject/l/public/s4655400.jpg,epub ibook
How We Learn,,Why Brains Learn Better Than Any Machine . . . for Now,StanislasDehaene,Viking,9780525559887,35013354,8.5,https://m.media-amazon.com/images/I/81hSpr0kXQL._SL1500_.jpg,epub ibook
How to Make Work Not Suck,,,,,,,,, ibook
I Used to Have a Plan,,But Life Had Other Ideas,AlessandraOlanow,Harper Design; Illustrated edition,9780062973627,35292267,7.7,https://img9.doubanio.com/view/subject/l/public/s33781174.jpg, ibook
Influence,,"The Psychology of Persuasion, Revised Edition",RobertB.Cialdini,Harper Business,9780061241895,2121856,8.8,https://img2.doubanio.com/view/subject/l/public/s29266061.jpg,epub ibook
Invent and Wander,,,,,,,,,epub ibook
The Laws of Human Nature,,,RobertGreene,Viking,9780525428145,30326100,8.7,https://img3.doubanio.com/view/subject/l/public/s29869503.jpg,epub ibook
Letters to a Young Athlete,,,ChrisBosh,Penguin Press,9781984881786,35515692,,https://img9.doubanio.com/view/subject/l/public/s33938495.jpg,epub 
Machine Learning in Action,,,PeterHarrington,Manning Publications,9781617290183,6962285,8.3,https://img3.doubanio.com/view/subject/l/public/s9015252.jpg,epub pdf
Never Split the Difference,,Negotiating As If Your Life Depended On It,ChrisVoss/TahlRaz,HarperBusiness,9780062407801,26702646,8.9,https://img1.doubanio.com/view/subject/l/public/s28377650.jpg,epub ibook
1984,,,GeorgeOrwell,New American Library,9780451524935,1424314,9.4,https://m.media-amazon.com/images/I/71kxa1-0mfL._SL1500_.jpg,epub ibook
On Tyranny,,Twenty Lessons from the Twentieth Century,TimothySnyder,Tim Duggan Books,9780804190114,26986006,7.5,https://img1.doubanio.com/view/subject/l/public/s29373908.jpg,epub ibook
Outliers,,The Story of Success,MalcolmGladwell,"Little, Brown and Company",9780316017923,3134517,8.3,https://img2.doubanio.com/view/subject/l/public/s3562541.jpg,epub ibook
Outlive,,The Science and Art of Longevity,PeterAttiaMD/BillGifford/彼得·阿提亚,Harmony,9780593236598,36333209,8.6,https://img9.doubanio.com/view/subject/l/public/s34480384.jpg,epub 
The Phoenix Project,,"A Novel About IT, DevOps, and Helping Your Business Win",GeneKim,IT Revolution Press,9780988262591,20644908,8.4,https://img3.doubanio.com/view/subject/l/public/s24682622.jpg,epub ibook
Rich Dad Poor Dad,,What The Rich Teach Their Kids About Money - That The Poor And Middle Class Do Not!,RobertT.Kiyosaki,Plata Publishing,9781612680002,6696686,8.2,https://img3.doubanio.com/view/subject/l/public/s29631993.jpg,epub ibook
The 48 Laws of Power,,,JoostElffers/RobertGreene,Penguin Putnam Inc,9780140280197,1460211,8.1,https://img2.doubanio.com/view/subject/l/public/s28316461.jpg,epub ibook
The 5 AM Club,,Own Your Morning. Elevate Your Life.,RobinSharma,HarperCollins Publishers,9781443456623,30460599,5.9,https://img3.doubanio.com/view/subject/l/public/s30005532.jpg,epub ibook
The Almanack of Naval Ravikant,,A Guide to Wealth and Happiness,NavalRavikant/EricJorgenson,Magrathea Publishing,9781544514215,35219712,9.1,https://img9.doubanio.com/view/subject/l/public/s33733475.jpg, ibook
The Bullet Journal Method,,"Track Your Past, Order Your Present, Plan Your Future",RyderCarroll,Fourth Estate,9780008261375,30428358,7.6,https://img9.doubanio.com/view/subject/l/public/s29973806.jpg, ibook epub
The Communication Book,,44 Ideas For Better Conversations Every Day,MikaelKrogerus/RomanTschäppeler,Penguin Books,9780241982280,30258458,,https://img1.doubanio.com/view/subject/l/public/s29803259.jpg,epub ibook
The Fountainhead,,,AynRand,New American Library,9780452286757,2472872,8.9,https://img3.doubanio.com/view/subject/l/public/s11910412.jpg,epub ibook
The Grapes of Wrath,,,JohnSteinbeck,Penguin Classics,9780143039433,1859778,9.1,https://img1.doubanio.com/view/subject/l/public/s3373059.jpg,epub ibook
The Heaven & Earth Grocery Store,,A Novel,JamesMcBride,Riverhead Books,9780593422946,36505589,,https://img3.doubanio.com/view/subject/l/public/s34608803.jpg,epub ibook
The Intelligence Trap,,Why Smart People Make Dumb Mistakes,DavidRobson,W. W. Norton & Company,9780393651423,31931687,,https://m.media-amazon.com/images/I/714LytqoJPL._SL1500_.jpg,epub ibook
The Intelligent Investor,,The Definitive Book on Value Investing,BenjaminGraham,HarperBusiness Essentials,9780060555702,3635158,,https://img3.doubanio.com/view/subject/l/public/s33942787.jpg,epub ibook
The Millionaire Next Door,,,ThomasJ.Stanley/WilliamD.Danko,Pocket Books,9780671015206,1620201,7.8,https://img2.doubanio.com/view/subject/l/public/s29677961.jpg,epub ibook
The One Thing,,The Surprisingly Simple Truth Behind Extraordinary Results,GaryKeller/JayPapasan,Bard Press,9781885167774,20439782,7.8,https://img1.doubanio.com/view/subject/l/public/s26711798.jpg,epub ibook
The Personal MBA,,A World-Class Business Education in a Single Volume,JoshKaufman,Portfolio Penguin,9780670919536,12273959,7.9,https://img3.doubanio.com/view/subject/l/public/s29758103.jpg,epub ibook
The Pragmatic Programmer,,From Journeyman to Master,AndrewHunt/DavidThomas,Addison-Wesley Professional,9780201616224,1417047,8.9,https://img3.doubanio.com/view/subject/l/public/s4091153.jpg,ibook epub 
The Psychology of Money,,"Timeless Lessons on Wealth, Greed, and Happiness",MorganHousel/摩根·豪泽尔,Harriman House,9780857197689,35060020,8.2,https://img9.doubanio.com/view/subject/l/public/s33639364.jpg,epub ibook
The Road Less Traveled,,,,Holiday House; Intl edition,9780684850207,3798420,9.0,https://img9.doubanio.com/view/subject/l/public/s29133666.jpg, ibook epub 
The Start-up of You,,"Adapt to the Future, Invest in Yourself, and Transform Your Career",ReidHoffman/BenCasnocha,Crown Business,9780307888907,6933056,8.3,https://img2.doubanio.com/view/subject/l/public/s7077961.jpg,epub ibook
This Is Now Your Company,,A Culture Carrier's Manifesto,MikeRognlien,Wise Ink Creative Publishing,9781634891172,32319020,,https://img1.doubanio.com/view/subject/l/public/s31212390.jpg,epub ibook
What Does It All Mean?,,A Very Short Introduction to Philosophy,ThomasNagel,Oxford University Press,9780195052923,11740734,8.8,https://img3.doubanio.com/view/subject/l/public/s29638463.jpg,epub ibook
When Breath Becomes Air,,,PaulKalanithi,Random House,9780812988406,26699448,8.9,https://m.media-amazon.com/images/I/717KRq4xxxL._SL1500_.jpg,epub ibook
Working Backwards,,"Insights, Stories, and Secrets from Inside Amazon",ColinBryar/BillCarr,St. Martin's Press,9781250267597,35363202,8.8,https://img2.doubanio.com/view/subject/l/public/s33830191.jpg,epub ibook
Your Money or Your Life,,Transforming Your Relationship with Money and Achieving Financial Independence,JoeDominguez/VickiRobin,Penguin (Non-Classics),9780140286786,1342400,,https://m.media-amazon.com/images/I/71AL7FJJw3L._SL1500_.jpg,epub ibook
Your Next Five Moves: Master the Art of Business Strategy,,,PatrickBet-David/GregDinkin,,9781982154806,35189192,,https://img3.doubanio.com/view/subject/l/public/s33710942.jpg,epub ibook
Zero to One,,"Notes on Startups, or How to Build the Future",PeterThiel/BlakeMasters,Crown Business,9780804139298,24753651,8.3,https://img1.doubanio.com/view/subject/l/public/s27463048.jpg,epub ibook
Go程序设计语言,,,艾伦A.A.多诺万,机械工业出版社,9787111558422,27044219,8.7,https://img3.doubanio.com/view/subject/l/public/s29458403.jpg,epub ibook
万历十五年（增订本）,,,,中华书局,9787101054491,1981042,9.1,https://img3.doubanio.com/view/subject/l/public/s3670063.jpg,epub ibook
三体全集,,,刘慈欣,读客文化,9785214589626,33420947,9.3,https://img3.doubanio.com/view/subject/l/public/s33460607.jpg,epub 
东野圭吾精选集-全10册,,,,南海出版公司,9787544249140,6087394,8.9,https://pic1.zhimg.com/80/v2-184069776131110f7e87720866d32d0c_1440w.webp,epub ibook
两京十五日,,,马伯庸,湖南文艺出版社,9787540496715,35080870,8.1,https://img3.doubanio.com/view/subject/l/public/s33682883.jpg,epub ibook
人类世的“资本论”,,,[日]斋藤幸平,上海译文出版社,9787532792528,36403474,8.2,https://img9.doubanio.com/view/subject/l/public/s34543165.jpg, 
你当像鸟飞往你的山,,,塔拉·韦斯特弗,南海出版公司,9787544276986,33440205,8.7,https://img9.doubanio.com/view/subject/l/public/s33492346.jpg,epub 
兄弟,,,余华,北京十月文艺出版社,9787530222324,35907578,8.8,https://img1.doubanio.com/view/subject/l/public/s34254299.jpg,epub ibook
共济会四百年,,,[英]约翰·迪基（JohnDickie）,社会科学文献出版社,9787522806945,36105657,8.0,https://img1.doubanio.com/view/subject/l/public/s34495169.jpg, 
切尔诺贝利的祭祷,,,[白俄]S.A.阿列克谢耶维奇,中信出版社,9787508690469,30236335,9.0,https://img1.doubanio.com/view/subject/l/public/s29803758.jpg,epub 
南货店,,,张忌,中信出版集团,9787521717693,35114602,7.9,https://img3.doubanio.com/view/subject/l/public/s33680423.jpg,epub ibook
喧嚣,,,[奥地利]弗朗茨·卡夫卡,北京燕山出版社,9787540247515,35218224,7.1,https://img3.doubanio.com/view/subject/l/public/s33774043.jpg,epub ibook
卡片笔记写作法,,如何实现从阅读到写作,【德】申克·阿伦斯（SönkeAhrens）,人民邮电出版社,9787115564672,35503571,7.8,https://img3.doubanio.com/view/subject/l/public/s33927783.jpg,epub ibook
原则,,,[美]瑞·达利欧,中信出版社,9787508684031,27608239,8.3,https://img2.doubanio.com/view/subject/l/public/s29643861.jpg,epub ibook
史蒂夫·乔布斯传（修订版）,,,[美]沃尔特·艾萨克森,中信出版社,9787508643298,25810506,9.2,https://img3.doubanio.com/view/subject/l/public/s27207923.jpg,epub ibook
围城,,,钱锺书,人民文学出版社,9787020127894,27070488,9.3,https://img3.doubanio.com/view/subject/l/public/s29907893.jpg,epub ibook
坚毅,,释放激情与坚持的力量,[美]安杰拉•达克沃思,中信出版社,9787508673868,27062574,7.8,https://img1.doubanio.com/view/subject/l/public/s29468600.jpg,epub ibook
夜晚的潜水艇,,,陈春成,上海三联书店,9787542669964,35005045,8.3,https://img1.doubanio.com/view/subject/l/public/s33718940.jpg,epub ibook
大道朝天一：临江仙,,,猫腻,云南美术出版社,9787548936183,34884826,7.6,https://www.acgnbaike.com/article/17158.html,epub ibook
失落的卫星,,深入中亚大陆的旅程,刘子超,文汇出版社,9787549631452,35025453,8.7,https://img1.doubanio.com/view/subject/l/public/s33660509.jpg,epub 
山居杂忆（插图精装版）,,一个大家闺秀的百年家族记忆,,长江文艺出版社,9787535484086,26672748,8.6,https://img1.doubanio.com/view/subject/l/public/s28348928.jpg,epub ibook
工作、消费主义和新穷人,,,[英]齐格蒙特·鲍曼,上海社会科学院出版社,9787552036107,35593780,8.3,https://img9.doubanio.com/view/subject/l/public/s34008354.jpg,epub ibook
平凡的世界,,,路遥,北京十月文艺出版社,9787530212004,10517238,9.0,https://img9.doubanio.com/view/subject/l/public/s8865866.jpg,epub ibook
幻想三国志,,,蓝狐,中信出版社,9787508605432,1489475,6.7,https://img3.doubanio.com/view/subject/l/public/s1824172.jpg,epub ibook
侠隐,,,张北海,上海人民出版社,9787208069053,2079345,8.0,https://img9.doubanio.com/view/subject/l/public/s2542876.jpg,epub ibook
愤怒的葡萄,,,[美]约翰·斯坦贝克,湖南文艺出版社,9787540491413,33395266,9.1,https://img9.doubanio.com/view/subject/l/public/s32320755.jpg,epub ibook
我与地坛,,,史铁生,湖南文艺出版社,9787540478087,26932218,9.2,https://img1.doubanio.com/view/subject/l/public/s29778139.jpg,epub ibook
我与地坛,,,史铁生,人民文学出版社,9787020083442,5910656,9.3,https://img1.doubanio.com/view/subject/l/public/s4594868.jpg,epub ibook
我辈孤雏,,,[英]石黑一雄,上海译文出版社,9787532794232,36536788,7.4,https://img3.doubanio.com/view/subject/l/public/s34664523.jpg,epub ibook
战后日本经济史,,从喧嚣到沉寂的70年,[日]野口悠纪雄,民主与建设出版社,9787513913843,30169979,7.7,https://img9.doubanio.com/view/subject/l/public/s29714465.jpg,epub ibook
精灵宝钻,,,[英]J.R.R.托尔金著/[英]克里斯托弗·托尔金编/[加拿大]泰德·纳史密斯图,上海人民出版社,9787208125117,25957852,9.4,https://img3.doubanio.com/view/subject/l/public/s28000347.jpg,epub 
拿下Offer:数据分析师求职面试指南点,,数据分析师求职面试指南,徐麟,电子工业出版社,9787121389252,35137589,7.5,https://img3.doubanio.com/view/subject/l/public/s33686032.jpg,epub ibook
挽救计划,,,[美]安迪·威尔,译林出版社,9787544787352,35494160,9.1,https://img9.doubanio.com/view/subject/l/public/s33958826.jpg,epub ibook
掌控习惯,,如何养成好习惯并戒除坏习惯,[美]詹姆斯·克利尔,北京联合出版公司,9787559632265,34326931,8.7,https://img9.doubanio.com/view/subject/l/public/s33565235.jpg,epub ibook
撒马尔罕的荣光,,阿夫拉西阿卜壁画解谜,[意]康马泰(MatteoCompareti),社会科学文献出版社,9787522814834,36361872,8.4,https://img9.doubanio.com/view/subject/l/public/s34725835.jpg, 
数据中台：让数据用起来,,,付登坡江敏任寅姿孙少忆等著,机械工业出版社,9787111642404,34907496,7.1,https://img1.doubanio.com/view/subject/l/public/s33964379.jpg,epub 
斯通纳,,,[美]约翰·威廉斯,上海人民出版社,9787208130500,26425831,8.8,https://img2.doubanio.com/view/subject/l/public/s28332051.jpg,epub ibook
无可慰藉,,,[英]石黑一雄,上海译文出版社,9787532794287,36538229,,https://img1.doubanio.com/view/subject/l/public/s34664518.jpg,epub 
日本的现代神话,,明治晚期的意识形态,【美】卡罗尔·格鲁克,江苏人民出版社,9787214271655,36428853,7.8,https://img1.doubanio.com/view/subject/l/public/s34550539.jpg, 
明朝那些事儿(增补版)(套装共9册),,,当年明月,北京联合出版公司,9787559602152,27127895,9.3,https://img2.doubanio.com/view/subject/l/public/s29531871.jpg,epub ibook
未来算法,,下一个十年赢在计算思维,诸葛越,中信出版集团,9787521730418,35498194,7.6,https://img1.doubanio.com/view/subject/l/public/s33923520.jpg,epub ibook
沙丘,,,FrankHerbert法蘭克．赫伯特,大家,9789579542999,35217704,8.7,https://img3.doubanio.com/view/subject/l/public/s33975267.jpg,epub ibook
活着,,,余华,北京十月文艺出版社,9787530215593,27064488,9.4,https://img1.doubanio.com/view/subject/l/public/s29652928.jpg,epub ibook
浮世画家,,,[英]石黑一雄,上海译文出版社,9787532794263,36536779,8.2,https://img2.doubanio.com/view/subject/l/public/s34664521.jpg,epub 
浮木,,,杨本芬,北京联合出版公司,9787559652614,35479662,8.4,https://img9.doubanio.com/view/subject/l/public/s33921954.jpg,epub 
海伯利安四部曲,,（套装全4册）,[美]丹•西蒙斯,文汇出版社,9787549622559,27117515,9.1,https://img9.doubanio.com/view/subject/l/public/s29536494.jpg,epub ibook
消失的13级台阶,,,[日]高野和明,上海文艺出版社,9787532175512,34996429,8.6,https://img1.doubanio.com/view/subject/l/public/s34070178.jpg,epub ibook
源泉,,全新修订完整版,(美)安·兰德,重庆出版社,9787229058555,20376604,8.9,https://img9.doubanio.com/view/subject/l/public/s26919835.jpg,epub ibook
焦虑的人,,,弗雷德里克·巴克曼,天津人民出版社,9787201175133,35539713,8.4,https://img2.doubanio.com/view/subject/l/public/s33951431.jpg,epub ibook
百年孤独,,,[哥伦比亚]加西亚·马尔克斯,南海出版公司,9787544253994,6082808,9.3,https://img1.doubanio.com/view/subject/l/public/s27237850.jpg,epub 
睡眠革命,,如何让你的睡眠更高效,[英]尼克·利特尔黑尔斯,北京联合出版公司,9787550299658,27023900,7.4,https://img3.doubanio.com/view/subject/l/public/s29437927.jpg,epub ibook
石黑一雄中英双语作品集（套装共8册）,,,,,,,,,epub ibook
石黑一雄代表作5册套装,,,,,,,,,epub 
程序员面试金典（第6版）,,,GayleLaakmannMcDowell,人民邮电出版社,9787115517197,34813624,9.7,https://img9.doubanio.com/view/subject/l/public/s33469996.jpg,epub 
纳瓦尔宝典,,财富与幸福指南,[美]埃里克·乔根森,中信出版社,9787521741124,35876121,8.4,https://img9.doubanio.com/view/subject/l/public/s34241855.jpg,epub ibook
美国四百年,,冒险、创新与财富塑造的历史,［美］布·斯里尼瓦桑,理想国\海南出版社,9787573001528,35721558,8.4,https://img3.doubanio.com/view/subject/l/public/s34093217.jpg,epub ibook
莫失莫忘,,,[英]石黑一雄,上海译文出版社,9787532794218,36536787,8.4,https://img9.doubanio.com/view/subject/l/public/s34664516.jpg,epub 
薄世宁医学通识讲义,,一生需要上一次医学院,薄世宁,中信出版集团,9787521709605,34842793,8.8,https://img3.doubanio.com/view/subject/l/public/s33514773.jpg,epub ibook
薛兆丰经济学讲义,,来自超过25万人的经济学课堂,薛兆丰,中信出版社,9787508689586,30280804,8.1,https://img9.doubanio.com/view/subject/l/public/s29841565.jpg,epub ibook
被掩埋的巨人,,,[英]石黑一雄,上海译文出版社,9787532794249,36536782,,https://img3.doubanio.com/view/subject/l/public/s34664517.jpg,epub 
刘擎西方现代思想讲义,,,刘擎,新星出版社,9787513342919,35313227,9.2,https://img2.doubanio.com/view/subject/l/public/s33802981.jpg,epub 
足利女童连续失踪事件,,,[日]清水洁,文汇出版社,9787549637317,35776315,9.0,https://img2.doubanio.com/view/subject/l/public/s34249411.jpg,epub ibook
这么多年,,,八月长安,江苏凤凰文艺出版社,9787559425935,35546311,6.6,https://img2.doubanio.com/view/subject/l/public/s33962561.jpg,epub 
远山淡影,,,[英]石黑一雄,上海译文出版社,9787532794256,36536777,9.2,https://img1.doubanio.com/view/subject/l/public/s34664519.jpg,epub 
邓小平时代,,,【美】傅高义(Ezra.F.Vogel),生活·读书·新知三联书店,9787108041531,20424526,9.3,https://img3.doubanio.com/view/subject/l/public/s24516687.jpg,epub ibook
那不勒斯故事四部曲,,,艾琳娜.斐蘭德,大塊文化,9789862138533,27204805,9.4,https://img3.doubanio.com/view/subject/l/public/s29643733.jpg,epub 
长安的荔枝,,,马伯庸,湖南文艺出版社,9787572608582,36104107,8.5,https://img3.doubanio.com/view/subject/l/public/s34327482.jpg,epub 
长日将尽,,,[英]石黑一雄,上海译文出版社,9787532794201,36536552,9.0,https://img9.doubanio.com/view/subject/l/public/s34664515.jpg,epub ibook
阿特拉斯耸耸肩,,,[美]安·兰德,重庆出版社,9787229058548,20376605,8.2,https://img3.doubanio.com/view/subject/l/public/s26685487.jpg,epub ibook
香帅金融学讲义,,,香帅,中信出版社,9787201720371,35217678,8.8,https://img9.doubanio.com/view/subject/l/public/s34073804.jpg,epub ibook
鼠疫,,,[法]阿尔贝·加缪,上海译文出版社,9787532761753,24257229,9.1,https://img2.doubanio.com/view/subject/l/public/s27003191.jpg,epub ibook
子弹笔记,,互联网时代重新定义“效率”的超级笔记术,[美]赖德·卡罗尔,北京联合出版公司,9787559627636,30395230,7.3,https://img2.doubanio.com/view/subject/l/public/s29939981.jpg, 
精准学习,,,[法]斯坦尼斯拉斯·迪昂,浙江教育出版社,9787572253300,36319002,8.7,https://img3.doubanio.com/view/subject/l/public/s34477977.jpg,epub
克拉拉与太阳,,,[英]石黑一雄,上海译文出版社,9787532794225,36536778,9.1,https://img1.doubanio.com/view/subject/l/public/s34664520.jpg,epub
